BAIRRO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antares,20,65,132,105,113,129,120,135,96,77,56
Bairro não Informado,0,0,0,0,0,0,0,0,7,0,0
Barro Duro,37,49,63,65,93,82,82,55,52,36,51
Bebedouro,18,23,41,58,53,67,65,45,25,13,10
Benedito Bentes,122,166,239,256,346,401,570,370,351,224,272
Bom Parto,27,16,24,11,33,33,27,30,28,19,20
Canaã,16,26,34,29,32,30,40,36,33,20,27
Centro,379,284,221,247,306,300,305,261,153,140,116
Chã da Jaqueira,10,10,15,18,22,41,48,24,22,16,12
Chã de Bebedouro,3,6,7,11,13,17,12,16,9,6,5
Cidade Universitária,129,250,436,388,548,763,668,769,531,454,535
Clima Bom,69,109,190,162,226,316,319,232,211,165,110
Cruz das Almas,51,82,94,105,157,173,185,123,85,54,69
Farol,231,171,284,242,310,258,293,239,114,111,107
Feitosa,77,111,103,111,149,149,171,113,95,65,65
Fernão Velho,8,8,13,13,27,24,32,16,17,18,15
Garça Torta,2,5,4,8,9,21,7,5,8,3,12
Gruta de Lourdes,59,112,118,144,175,127,158,87,72,57,50
Guaxuma,6,3,7,11,23,19,34,42,14,9,17
Ipioca,4,9,8,14,17,11,15,18,22,19,6
Jacarecica,7,19,14,40,36,32,41,50,32,19,45
Jacintinho,219,170,222,242,327,421,359,261,191,218,170
Jaraguá,71,58,46,73,54,65,112,53,32,34,59
Jardim Petrópolis,6,5,11,8,16,19,18,14,10,10,8
Jatiúca,215,334,377,344,365,366,306,256,135,160,150
Levada,68,47,64,66,53,73,86,73,39,32,35
Mangabeiras,80,99,108,121,134,122,95,91,59,37,42
Mutange,5,8,16,6,4,5,7,7,5,0,1
Ouro Preto,3,5,11,8,15,15,26,21,17,16,16
Pajuçara,53,73,84,78,85,89,82,74,50,61,84
Pescaria,0,1,2,2,0,3,5,7,8,10,3
Petrópolis,5,28,41,64,89,123,81,59,51,41,35
Pinheiro,41,122,149,191,231,203,177,134,65,42,27
Pitanguinha,13,25,27,42,40,35,30,26,15,13,18
Ponta Grossa,56,89,80,105,114,168,172,176,69,58,43
Ponta Verde,150,169,170,159,174,148,139,87,82,85,85
Ponta da Terra,8,11,23,13,19,21,26,29,18,24,20
Pontal da Barra,6,9,5,4,14,15,11,10,7,5,7
Poço,116,164,170,188,230,170,166,131,79,90,107
Prado,87,118,115,127,135,125,152,118,61,51,47
Riacho Doce,3,6,6,23,26,19,28,29,22,14,12
Rio Novo,5,3,5,7,20,30,32,16,20,7,12
Santa Amélia,15,32,44,60,46,71,95,44,40,29,32
Santa Lúcia,52,111,161,150,151,208,227,202,157,167,113
Santo Amaro,0,15,4,9,6,11,6,4,1,7,6
Santos Dumont,42,57,92,110,133,184,186,150,89,108,93
Serraria,58,104,131,145,166,158,145,107,84,73,63
São Jorge,11,14,15,25,45,53,42,42,42,28,42
Tabuleiro do Martins,388,442,641,553,637,652,712,540,408,265,278
Trapiche da Barra,45,72,85,82,101,136,130,112,43,53,40
Vergel do Lago,67,78,77,43,56,167,181,114,50,49,33
Zona Rural,0,0,0,0,0,0,1,0,0,0,0
